;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
No;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane
420;403;497,5;160;160,5;164;182;44;60;35;95
421;167,3;193;60;53,5;60;77;16;24;31,3;38,5
422;167,3;179,5;60;43;60;69;16;22,5;31,3;45
423;377,6;407,5;132;111,5;124;140;36;43,5;85,6;112,5
424;377,6;410,5;132;118;124;157,5;36;42;85,6;93
425;161,3;259,5;53;68;66;115;24;34;18,3;42,5
426;160,5;238,5;53;61,5;66;103;24;31,5;17,5;42,5
427;603,9;776;228;186,5;198;294,5;48;88,5;129,9;206,5
428;240;267;83,5;76,5;61,25;91;20;44;75,25;55,5
429;182,75;249,5;83,5;73;61,25;86;20;40;18;50,5
430;182,75;268;83,5;65;61,25;96;20;50;18;57
431;182,75;278;83,5;73;61,25;87;20;60;18;58
432;182,75;282;83,5;63;61,25;106,5;20;60;18;52,5
433;226,2;308;76;91,5;90;114;32;46;28,2;56,5
434;365,3;432;136;145;161;169;44;52;24,3;66
435;308;394;114;115;120;152;32;42,5;42;84,5
436;302,6;427;114;143;120;157;32;57;36,6;70
437;272;299;94;86;106;114;40;48;32;51
438;272;318;94;99;106;97;40;56;32;66
439;557,4;591;220;212;182;185;64;27;91,4;167
440;557,4;627,5;220;240,5;182;226;64;48;91,4;113
441;138,6;148,5;47;46;53;46;20;26;18,6;30,5
442;149;202,5;46;46;65;92;20;28;18;36,5
443;155,6;113,5;59;45;60;34;16;2;20,6;32,5
444;621,1;906;186;240;242;358;70;122;123,1;186
445;243,3;260,5;83;75;96;88;20;32;44,3;65,5
446;198,2;211;72;57,5;74;63,5;24;32;28,2;58
447;406,6;440,5;176;128,5;166;153,5;36;54;28,6;104,5
448;833;907;264;267;340;301,5;96;146,5;133;192
449;833;902,5;264;262,5;340;310;96;129;133;201
450;833;936,5;264;260;340;347,5;96;134;133;195
451;833;950,5;264;268;340;374;96;135;133;173,5
452;383,4;510;144;160,5;160;178,5;40;56;39,4;115
453;202,2;223;62;63;66;55;24;30,5;50,2;74,5
454;383,4;498;144;150,5;160;172,5;40;57;39,4;118
455;477,9;665;156;186,5;210;255;48;82;63,9;141,5
456;699;815,5;240;260;286;306;70;86;103;163,5
457;699;970;240;289;286;341;70;120;103;220
458;755,2;913;264;227,5;248;295,5;72;112;171,2;278
459;758,4;981,5;264;275;248;282;72;136;174,4;288,5
460;186,9;152,5;83,5;63;61,25;37;20;30;22,15;22,5
461;206;202;73;53,5;91;92;24;28;18;28,5
462;199;204;72;53;68;60;40;44;19;47
463;187,3;204,5;58;60;76;63;24;32;29,3;49,5
464;134,6;141,5;47;39;51;45;20;26;16,6;31,5
465;197,6;226;70;62;89;88;24;30;14,6;46
466;179,4;205,5;56;72;58;36,5;24;32;41,4;65
467;179,4;255,5;56;64;58;92,5;24;34;41,4;65
468;618;728,5;210;258;290;279;86;91;32;100,5
469;330,6;447;126;103,5;104;144,5;32;72;68,6;127
470;334,6;427,5;130;109;104;115;32;69,5;68,6;134
